id,name,type,selectors,parent,is_group,is_editable,is_required,ordering
0622750f-24f9-0485-aa18-b7d1880c3635,Navigation,,.M_EL_Navigation,baece9ef-aac1-02ce-8157-0e3024d3ca70,False,True,False,aT
10353f9b-22f0-0cc5-89df-2fd8fc663f1f,Mobile menu,,.ElementMResource_mobile_menu,da24d788-cf02-0886-8155-21952bcdaa32,True,True,False,aU
d86b3995-5459-0504-9e54-62ce10e30874,Toggle,,.ElementMResource_mobile_menu__toggle,10353f9b-22f0-0cc5-89df-2fd8fc663f1f,False,True,False,aV
09b9acdb-f909-0a03-8bca-630bbdf4f927,Wrapper,,.ElementMResource_mobile_menu__wrapper,10353f9b-22f0-0cc5-89df-2fd8fc663f1f,False,True,False,aW
bfec97fe-19d6-06a4-b0a0-60cbc5797d4d,Content,,.ElementMResource_mobile_menu__content,10353f9b-22f0-0cc5-89df-2fd8fc663f1f,False,True,False,aX
f2114217-3daa-00e5-b670-f226fc1d00c1,Tabs,,.M_EL_Tabs,,True,True,False,aY
4a634363-2dc9-0e5d-b390-c2c191abacb8,Menu,,.M_EL_TabsMenu,f2114217-3daa-00e5-b670-f226fc1d00c1,False,True,False,aZ
0f605bba-1355-0878-b357-20fa918eff01,Loop tabs,,.M_EL_TabLoopTabs,f2114217-3daa-00e5-b670-f226fc1d00c1,False,True,False,aa
1b5f8030-533d-0ce4-a14d-78e4a671da11,Tab,,.M_EL_Tab,f2114217-3daa-00e5-b670-f226fc1d00c1,False,True,False,ab
522f42dc-c268-00ca-83f9-1e428eedcee9,Content,,.M_EL_TabsContent,f2114217-3daa-00e5-b670-f226fc1d00c1,False,True,False,ac
9cf2dae1-7add-0eb1-85c5-cac58d8ce1bc,Tab pane,,.M_EL_TabPane,f2114217-3daa-00e5-b670-f226fc1d00c1,False,True,False,ad
c00b2bc8-fb71-096a-8f90-32ac9bcc488d,Loop tab panes,,.M_EL_TabLoopTabPanes,f2114217-3daa-00e5-b670-f226fc1d00c1,False,True,False,ae
675b2714-ea8f-0e88-aec8-38aa7394a958,Accordion,,dl:where(.M_EL_Accordion)|:where(.M_EL_Accordion) > dl,,False,True,False,af
5512dc41-4d87-06d1-8d97-8535063f136a,Loop items,,.M_EL_AccordionLoopItems,675b2714-ea8f-0e88-aec8-38aa7394a958,False,True,False,ag
e0e364a6-091f-0979-b87e-1b5fe55c9906,Item,,.M_EL_AccordionItem,675b2714-ea8f-0e88-aec8-38aa7394a958,False,True,False,ah
7e687a6c-7659-0220-968c-82eb8ad593bc,Title,,.M_EL_AccordionTitle,675b2714-ea8f-0e88-aec8-38aa7394a958,False,True,False,ai
d276b3d7-867d-027e-b990-baadcd4c42f0,Content,,.M_EL_AccordionContent__inner:where(.M_EL_AccordionContent > .M_EL_AccordionContent__inner),675b2714-ea8f-0e88-aec8-38aa7394a958,False,True,False,aj
98f4a220-2b3b-0bf6-9b07-653abba87e32,Section,,.M_EL_Section,,False,True,False,ak
7090e1d3-06e6-08d5-8fcc-149cb93cb6f1,Div,,.M_EL_Div,,True,True,False,al
dca6c43a-32df-0dd1-8fa5-205125325cef,Grid,,.M_EL_Div__Grid,7090e1d3-06e6-08d5-8fcc-149cb93cb6f1,False,True,False,am
4dedb815-bf1f-0f3b-9d96-ed6e66fdedb2,Rows,,.M_EL_Div__Rows,7090e1d3-06e6-08d5-8fcc-149cb93cb6f1,False,True,False,an
e12a4a18-fdbe-051d-80db-d9b81d11b386,Columns,,.M_EL_Div__Columns,7090e1d3-06e6-08d5-8fcc-149cb93cb6f1,False,True,False,ao
47226be6-d28d-4a56-af71-ca540f55a7ca,Container,,.M_EL_Div__Container,7090e1d3-06e6-08d5-8fcc-149cb93cb6f1,False,True,False,ap
c0ae309a-d4cd-0d0d-8a9c-5a5ff24d7acb,Image,,.M_EL_Image,,False,True,False,aq
7fe0ee8e-7ab5-0db3-928e-d91d06db2661,Code,,.M_EL_Code,,False,True,False,ar
ba5adb79-0b53-04d7-9acb-5a3219841114,Form wrapper,,.M_EL_FormWrapper,,True,True,False,as
20add32e-6c96-051f-a508-323c5a6da3d9,Success screen,,.M_EL_SuccessScreen,ba5adb79-0b53-04d7-9acb-5a3219841114,False,True,False,at
d03f32fa-b3c4-00c5-9886-43a839150da5,Error message,,.M_EL_FormError,ba5adb79-0b53-04d7-9acb-5a3219841114,False,True,False,au
b8e4f2a1-6c3d-04e7-9a52-1f8b3c6d9e04,Turnstile,,.M_EL_Turnstile,ba5adb79-0b53-04d7-9acb-5a3219841114,False,True,False,av
11dbbc9a-3d88-09bd-9f1c-e2a3609492a9,reCAPTCHA,,.M_EL_Recaptcha,ba5adb79-0b53-04d7-9acb-5a3219841114,False,True,False,aw
5c12674c-a997-0ce8-9e6e-f84fa2f03e63,Form,,.M_EL_Form,ba5adb79-0b53-04d7-9acb-5a3219841114,False,True,False,ax
2ca59c0b-d68e-0b85-8c36-3ba993c46a00,Field,,.M_EL_Field,ba5adb79-0b53-04d7-9acb-5a3219841114,False,True,False,ay
0aba491f-bf49-0ce1-ae11-a5b8b78ec4cd,Choice field,,.M_EL_ChoiceField,ba5adb79-0b53-04d7-9acb-5a3219841114,True,True,False,az
2af6a181-9af4-0ad4-96cd-b3ae22097f78,Legend,,.M_EL_ChoiceLegend,0aba491f-bf49-0ce1-ae11-a5b8b78ec4cd,False,True,False,b00
e67d2ba0-cae8-0a19-86ca-3013c1f3533b,Content,,.M_EL_ChoiceContent,0aba491f-bf49-0ce1-ae11-a5b8b78ec4cd,False,True,False,b01
f49823ca-a455-0356-9235-0bd9780d3ccf,Choice,,.M_EL_Choice,0aba491f-bf49-0ce1-ae11-a5b8b78ec4cd,False,True,False,b02
c845d80f-61e1-067e-be83-99b787b334e6,Choice label,,.M_EL_ChoiceLabel,0aba491f-bf49-0ce1-ae11-a5b8b78ec4cd,False,True,False,b03
d7aeb839-578f-0ab5-af09-e62f43acffa2,Field set,,.M_EL_FieldSet,ba5adb79-0b53-04d7-9acb-5a3219841114,True,True,False,b04
041c172a-a74b-0ad9-a5c7-2d5c17578f29,Legend,,.M_EL_FieldSetLegend,d7aeb839-578f-0ab5-af09-e62f43acffa2,False,True,False,b05
7a7df079-d694-0a6f-a266-d78c03cdd6fe,Content,,.M_EL_FieldSetContent,d7aeb839-578f-0ab5-af09-e62f43acffa2,False,True,False,b06
6867f71f-899b-0b31-9c03-f77073736193,Checkbox input,,.M_EL_CheckboxInput,2af6a181-9af4-0ad4-96cd-b3ae22097f78,False,True,False,b07
82d072da-c32f-01c6-b00e-b5b55d3519cc,File upload,,.M_EL_FileUpload,ba5adb79-0b53-04d7-9acb-5a3219841114,False,True,False,b08
21e86ec1-e113-40b6-81fd-4bc7e720d199,Hidden input,,.M_EL_HiddenInput,ba5adb79-0b53-04d7-9acb-5a3219841114,False,True,False,b09
