type,rule,allowed_children,nested_rule,declared_in
styleguide-entry-content-pullquote,allow,styleguide-entry-content-pullquote-cite|styleguide-entry-content-pullquote-paragraph,yes,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentPullQuote/SGEntryContentPullQuoteElementTypeFactory.php
styleguide-entry-content-pullquote-cite,none,,,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentPullQuote/SGEntryContentPullQuoteCite/SGEntryContentPullQuoteCiteElementTypeFactory.php
styleguide-entry-content-pullquote-paragraph,none,,,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentPullQuote/SGEntryContentPullQuoteParagraph/SGEntryContentPullQuoteParagraphElementTypeFactory.php
styleguide-entry-content-quote-cite,none,,,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentQuote/SGEntryContentQuoteCite/SGEntryContentQuoteCiteElementTypeFactory.php
styleguide-entry-content-separator,none,,yes,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentSeparator/SGEntryContentSeparatorElementTypeFactory.php
styleguide-entry-content-text,none,,yes,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentText/SGEntryContentTextElementTypeFactory.php
styleguide-entry-content-text-quote,complex,,yes,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentQuote/SGEntryContentQuoteElementTypeFactory.php
styleguide-entry-content-verse,none,,yes,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentVerse/SGEntryContentVerseElementTypeFactory.php
styleguide-root,none,,,Mosaic/NodeTypes/Root/StyleGuide/StyleGuideRootElementTypeFactory.php
submit-button,allow,submit-label|submit-loading,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/SubmitButton/SubmitButtonElementTypeFactory.php
submit-label,none,,,Mosaic/NodeTypes/Pro/Form/Form/MElements/SubmitButton/Label/SubmitLabelElementTypeFactory.php
submit-loading,none,,,Mosaic/NodeTypes/Pro/Form/Form/MElements/SubmitButton/Loading/SubmitLoadingElementTypeFactory.php
success-screen,any,,,Mosaic/NodeTypes/Pro/Form/SuccessScreen/SuccessScreenElementTypeFactory.php
tabs,allow,tabs-content|tabs-menu,,Mosaic/NodeTypes/Pro/Tabs/TabsElementTypeFactory.php
tabs-content,allow,tabs-loop-tab-panes|tabs-tab-pane,,Mosaic/NodeTypes/Pro/Tabs/TabsContent/TabsContentElementTypeFactory.php
tabs-loop-tab-panes,allow,tabs-tab-pane,,Mosaic/NodeTypes/Pro/Tabs/TabsContent/LoopTabPanes/TabLoopTabPanesElementTypeFactory.php
tabs-loop-tabs,allow,tabs-tab,yes,Mosaic/NodeTypes/Pro/Tabs/TabsMenu/LoopTabs/TabLoopTabsElementTypeFactory.php
tabs-menu,allow,tabs-loop-tabs|tabs-tab,,Mosaic/NodeTypes/Pro/Tabs/TabsMenu/TabsMenuElementTypeFactory.php
tabs-tab,any,,yes,Mosaic/NodeTypes/Pro/Tabs/TabsMenu/Tab/TabElementTypeFactory.php
tabs-tab-pane,any,,,Mosaic/NodeTypes/Pro/Tabs/TabsContent/TabPane/TabPaneElementTypeFactory.php
template-external,none,,yes,Mosaic/NodeTypes/Template/TemplateExternal/TemplateExternalElementTypeFactory.php
template-internal,any,,,Mosaic/NodeTypes/Template/TemplateInternal/TemplateInternalElementTypeFactory.php
text,none,,,Mosaic/NodeTypes/Text/TextElementTypeFactory.php
text-input,none,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/InputText/InputTextElementTypeFactory.php
