type,label,class,extends,abstract,edition,alias_types,is_link,can_be_parent,default_element_class,data_class,data_extends,file
styleguide-entry-content-text,Entry text,SGEntryContentTextElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,SGEntryContentElementVariationsConst::EntryH1ElementClassID,SGEntryContentTextElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentText/SGEntryContentTextElementTypeFactory.php
styleguide-entry-content-verse,Entry verse,SGEntryContentVerseElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,SGEntryContentVerseElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentVerse/SGEntryContentVerseElementTypeFactory.php
section,Section,SectionElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,true,,SectionElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Section/SectionElementTypeFactory.php
template-external,Template,TemplateExternalElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,TemplateExternalElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Template/TemplateExternal/TemplateExternalElementTypeFactory.php
template-internal,Template,TemplateInternalElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,true,,TemplateInternalElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Template/TemplateInternal/TemplateInternalElementTypeFactory.php
text,Text,TextElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,TextElementVariationsConst::DivElementClassID,TextElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Text/TextElementTypeFactory.php
__unknown,Unknown,UnknownElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,,,Mosaic/NodeTypes/Unknown/UnknownElementTypeFactory.php
video,Video,VideoElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,VideoElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Video/VideoElementTypeFactory.php
vimeo,,VimeoElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,VimeoElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Vimeo/VimeoElementTypeFactory.php
wpContent,Post content,WPContentElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,WPContentElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/WPContent/WPContentElementTypeFactory.php
wpShortcode,Shortcode,WPShortcodeElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,WPShortcodeElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/WPShortcode/WPShortcodeElementTypeFactory.php
wysiwyg-linebreak,Line break node,WysiwygLineBreakNodeTypeFactory,NodeTypeFactoryAbstract,no,free,,,,,WysiwygLineBreakNodeMResourceData,NodeMResourceDataAbstract,Mosaic/NodeTypes/Wysiwyg/WysiwygLineBreak/WysiwygLineBreakNodeTypeFactory.php
wysiwyg-link,Text node,WysiwygLinkElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,WysiwygLinkElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Wysiwyg/WysiwygLink/WysiwygLinkElementTypeFactory.php
wysiwyg-span,Span node,WysiwygSpanElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,WysiwygSpanElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/Wysiwyg/WysiwygSpan/WysiwygSpanElementTypeFactory.php
wysiwyg-text,Text node,WysiwygTextNodeTypeFactory,NodeTypeFactoryAbstract,no,free,,,,,WysiwygTextNodeMResourceData,NodeMResourceDataAbstract,Mosaic/NodeTypes/Wysiwyg/WysiwygText/WysiwygTextNodeTypeFactory.php
wysiwyg-variable,Variable node,WysiwygVariableNodeTypeFactory,NodeTypeFactoryAbstract,no,free,,,,,WysiwygVariableNodeMResourceData,NodeMResourceDataAbstract,Mosaic/NodeTypes/Wysiwyg/WysiwygVariable/WysiwygVariableNodeTypeFactory.php
youtube,,YouTubeElementTypeFactory,ElementTypeFactoryAbstract,no,free,,,,,YouTubeElementMResourceData,ElementMResourceDataAbstract,Mosaic/NodeTypes/YouTube/YouTubeElementTypeFactory.php
